,,,畢業生總計,已升學總計,公立大學日間部,公立大學進修學士班,私立大學日間部,私立大學進修學士班,公立二專日間部,公立二專夜間部,私立二專日間部,私立二專夜間部,警察大學,警察專科學校,軍事院校,赴國外、大陸就讀,其他學校
私立,職業科,設計群,6484,5765,241,111,4703,617,13,0,6,9,0,0,26,33,6
私立,職業科,家政群,6950,4661,162,83,3329,697,41,48,110,135,5,1,16,3,31
私立,職業科,餐旅群,18903,12955,541,331,9335,2118,59,73,240,96,2,3,84,27,46
私立,職業科,海事群,50,33,2,0,31,0,0,0,0,0,0,0,0,0,0
私立,職業科,藝術群,2382,1932,148,54,1454,228,0,1,4,2,1,0,4,27,9
私立,職業科,綜合,418,28,0,0,23,5,0,0,0,0,0,0,0,0,0
私立,綜合高中,學術群,2151,2035,311,5,1557,103,0,0,0,0,0,4,17,34,4
私立,綜合高中,機械群,71,47,1,0,21,25,0,0,0,0,0,0,0,0,0
私立,綜合高中,動力機械群,97,54,5,0,34,15,0,0,0,0,0,0,0,0,0
私立,綜合高中,電機與電子群,1311,1147,168,18,882,68,1,0,0,0,0,5,3,2,0
私立,綜合高中,化工群,170,170,17,0,153,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,2623,2435,268,52,1954,119,4,8,2,4,0,0,21,3,0
私立,綜合高中,外語群,1243,1199,78,5,1049,47,3,0,0,0,0,0,3,14,0
私立,綜合高中,設計群,794,747,57,2,642,28,9,1,0,2,0,0,1,5,0
私立,綜合高中,家政群,609,516,15,7,472,21,0,0,0,0,0,0,1,0,0
私立,綜合高中,餐旅群,1570,1310,115,10,1062,93,3,0,0,12,0,0,13,2,0
私立,綜合高中,藝術群,18,5,0,0,5,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,綜合,278,230,13,0,197,9,6,0,0,0,0,0,4,1,0
私立,實用技能學程,機械群,79,14,0,0,4,7,0,0,0,3,0,0,0,0,0
私立,實用技能學程,動力機械群,1140,265,9,6,167,42,10,0,0,24,0,0,7,0,0
私立,實用技能學程,電機與電子群,643,376,7,8,227,112,0,0,2,3,0,0,6,1,10
私立,實用技能學程,土木與建築群,17,8,0,0,8,0,0,0,0,0,0,0,0,0,0
私立,實用技能學程,商業與管理群,1357,720,14,18,477,137,19,17,6,26,0,0,4,2,0
私立,實用技能學程,設計群,96,56,3,0,43,7,0,0,0,3,0,0,0,0,0
私立,實用技能學程,食品群,140,68,1,0,38,24,1,1,0,0,0,0,3,0,0
私立,實用技能學程,餐旅群,3719,1622,40,18,1006,444,4,11,7,66,0,0,22,0,4
私立,實用技能學程,美容造型群,1517,571,21,4,340,139,1,4,17,29,2,0,1,0,13
