,,,畢業生總計,未升學未就業總計,正在接受職業訓練,正在軍中服役,需要工作而未找到,補習或準備升學,健康不良在家休養,準備出國,其他原因,已升學總計,公立大學日間部,公立大學進修學士班,私立大學日間部,私立大學進修學士班,公立二專日間部,公立二專夜間部,私立二專日間部,私立二專夜間部,警察大學,警察專科學校,軍事院校,赴國外或大陸就讀,其他學校,已就業總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
縣市立,綜合高中,機械群,25,3,0,0,0,3,0,0,0,22,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,電機與電子群,263,4,0,0,0,4,0,0,0,257,123,1,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
縣市立,綜合高中,化工群,82,5,0,0,0,5,0,0,0,75,52,0,22,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
縣市立,綜合高中,土木與建築群,110,0,0,0,0,0,0,0,0,109,46,0,60,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
縣市立,綜合高中,商業與管理群,544,14,0,5,0,7,2,0,0,515,134,12,361,7,0,0,0,0,0,0,0,0,1,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
縣市立,綜合高中,外語群,36,0,0,0,0,0,0,0,0,36,5,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,設計群,147,7,0,1,0,4,0,1,1,139,10,4,119,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,農業群,19,0,0,0,0,0,0,0,0,19,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,家政群,20,0,0,0,0,0,0,0,0,20,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,餐旅群,102,7,0,2,1,0,0,0,4,73,14,0,59,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,4,1,0,3,0,0,0,0,0,7,0,0,0,6
縣市立,實用技能學程,機械群,46,4,0,3,1,0,0,0,0,32,0,20,3,9,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
縣市立,實用技能學程,動力機械群,27,2,0,2,0,0,0,0,0,12,0,0,1,11,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,電機與電子群,81,11,0,8,2,0,0,0,1,34,4,13,10,7,0,0,0,0,0,0,0,0,0,36,0,0,2,0,0,15,4,1,7,1,1,0,1,2,0,0,0,0,2
縣市立,實用技能學程,土木與建築群,37,4,0,1,1,0,0,0,2,18,2,7,7,1,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,3,1,0,5,2,0,0,1,0,0,0,0,0,3
縣市立,實用技能學程,商業與管理群,122,14,0,2,3,0,4,0,5,71,4,6,20,38,0,0,0,3,0,0,0,0,0,33,0,0,5,4,0,1,1,1,9,0,0,0,0,3,4,0,1,0,4
