表1-2-1 高級中等學校畢業生升學情形—按設立別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,"畢業生
,,男,"61,087","46,070","5,429",758,"33,126","4,801",98,109,221,313,18,149,616,349,83,100.00,75.42,8.89,1.24,54.23,7.86,0.16,0.18,0.36,0.51,0.03,0.24,1.01,0.57,0.14,
,,女,"59,244","49,938","5,229",833,"37,938","4,314",130,132,294,305,15,14,201,442,91,100.00,84.29,8.83,1.41,64.04,7.28,0.22,0.22,0.50,0.51,0.03,0.02,0.34,0.75,0.15,
普通科,,計,"103,538","99,952","37,032",268,"58,613","1,036",15,2,14,4,97,772,"1,064","1,006",29,100.00,96.54,35.77,0.26,56.61,1.00,0.01,0.00,0.01,0.00,0.09,0.75,1.03,0.97,0.03,
,,男,"51,665","49,289","19,298",127,"27,240",573,13,1,5,2,75,686,797,457,15,100.00,95.40,37.35,0.25,52.72,1.11,0.03,0.00,0.01,0.00,0.15,1.33,1.54,0.88,0.03,
,,女,"51,873","50,663","17,734",141,"31,373",463,2,1,9,2,22,86,267,549,14,100.00,97.67,34.19,0.27,60.48,0.89,0.00,0.00,0.02,0.00,0.04,0.17,0.51,1.06,0.03,
,國立,計,"34,267","33,108","15,733",73,"16,005",141, -,1,6,3,48,407,458,226,7,100.00,96.62,45.91,0.21,46.71,0.41, -,0.00,0.02,0.01,0.14,1.19,1.34,0.66,0.02,
,,男,"17,434","16,644","8,330",28,"7,338",89, -, -,1,1,36,367,324,126,4,100.00,95.47,47.78,0.16,42.09,0.51, -, -,0.01,0.01,0.21,2.11,1.86,0.72,0.02,
,,女,"16,833","16,464","7,403",45,"8,667",52, -,1,5,2,12,40,134,100,3,100.00,97.81,43.98,0.27,51.49,0.31, -,0.01,0.03,0.01,0.07,0.24,0.80,0.59,0.02,
,縣市立,計,"40,753","39,383","15,200",123,"22,972",248,11,1,5, -,33,224,342,222,2,100.00,96.64,37.30,0.30,56.37,0.61,0.03,0.00,0.01, -,0.08,0.55,0.84,0.54,0.00,
,,男,"19,983","19,097","7,768",64,"10,565",138,9,1,3, -,28,189,255,77, -,100.00,95.57,38.87,0.32,52.87,0.69,0.05,0.01,0.02, -,0.14,0.95,1.28,0.39, -,
,,女,"20,770","20,286","7,432",59,"12,407",110,2, -,2, -,5,35,87,145,2,100.00,97.67,35.78,0.28,59.74,0.53,0.01, -,0.01, -,0.02,0.17,0.42,0.70,0.01,
,私立,計,"28,518","27,461","6,099",72,"19,636",647,4, -,3,1,16,141,264,558,20,100.00,96.29,21.39,0.25,68.85,2.27,0.01, -,0.01,0.00,0.06,0.49,0.93,1.96,0.07,
,,男,"14,248","13,548","3,200",35,"9,337",346,4, -,1,1,11,130,218,254,11,100.00,95.09,22.46,0.25,65.53,2.43,0.03, -,0.01,0.01,0.08,0.91,1.53,1.78,0.08,
,,女,"14,270","13,913","2,899",37,"10,299",301, -, -,2, -,5,11,46,304,9,100.00,97.50,20.32,0.26,72.17,2.11, -, -,0.01, -,0.04,0.08,0.32,2.13,0.06,
職業科,,計,"113,779","92,178","16,879","3,268","60,939","8,254",319,228,537,476,16,29,900,192,141,100.00,81.01,14.83,2.87,53.56,7.25,0.28,0.20,0.47,0.42,0.01,0.03,0.79,0.17,0.12,
,,男,"61,649","47,898","9,598","1,698","30,400","4,575",178,107,247,229,8,24,689,76,69,100.00,77.69,15.57,2.75,49.31,7.42,0.29,0.17,0.40,0.37,0.01,0.04,1.12,0.12,0.11,
,,女,"52,130","44,280","7,281","1,570","30,539","3,679",141,121,290,247,8,5,211,116,72,100.00,84.94,13.97,3.01,58.58,7.06,0.27,0.23,0.56,0.47,0.02,0.01,0.40,0.22,0.14,
,國立,計,"30,637","26,930","9,429","1,595","14,358",861,137,23,59,21,1,12,407,13,14,100.00,87.90,30.78,5.21,46.86,2.81,0.45,0.08,0.19,0.07,0.00,0.04,1.33,0.04,0.05,
