表1-2-9 高級中等學校畢業生升學情形—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,餐旅群,"20,119","14,045",924,410,"9,937","2,132",60,75,243,97,2,3,88,28,46,100.00,69.81,4.59,2.04,49.39,10.60,0.30,0.37,1.21,0.48,0.01,0.01,0.44,0.14,0.23,
,,,水產群,305,230,140,13,60,6, -, -,4, -, -, -,6, -,1,100.00,75.41,45.90,4.26,19.67,1.97, -, -,1.31, -, -, -,1.97, -,0.33,
,,,海事群,319,201,84,5,87,3,1, -,17,1, -, -,3, -, -,100.00,63.01,26.33,1.57,27.27,0.94,0.31, -,5.33,0.31, -, -,0.94, -, -,
,,,藝術群,"2,533","2,056",245,59,"1,474",230, -,1,4,2,1, -,4,27,9,100.00,81.17,9.67,2.33,58.19,9.08, -,0.04,0.16,0.08,0.04, -,0.16,1.07,0.36,
,,,綜合,"1,562",145,4, -,126,14, -,1, -, -, -, -, -, -, -,100.00,9.28,0.26, -,8.07,0.90, -,0.06, -, -, -, -, -, -, -,
,綜合高中,,,"25,420","23,456","4,294",293,"17,578",765,43,10,8,19,2,102,225,86,31,100.00,92.27,16.89,1.15,69.15,3.01,0.17,0.04,0.03,0.07,0.01,0.40,0.89,0.34,0.12,
,,學術群,,"10,853","10,435","2,303",61,"7,568",189,3,1,1, -, -,97,134,55,23,100.00,96.15,21.22,0.56,69.73,1.74,0.03,0.01,0.01, -, -,0.89,1.23,0.51,0.21,
,,專門學群,,"14,567","13,021","1,991",232,"10,010",576,40,9,7,19,2,5,91,31,8,100.00,89.39,13.67,1.59,68.72,3.95,0.27,0.06,0.05,0.13,0.01,0.03,0.62,0.21,0.05,
,,,機械群,347,278,81,5,155,35, -, -, -, -, -, -,2, -, -,100.00,80.12,23.34,1.44,44.67,10.09, -, -, -, -, -, -,0.58, -, -,
,,,動力機械群,128,67,5,4,40,16, -, -, -, -,2, -, -, -, -,100.00,52.34,3.91,3.13,31.25,12.50, -, -, -, -,1.56, -, -, -, -,
,,,電機與電子群,"1,970","1,769",377,23,"1,247",93,1, -, -, -, -,5,14,2,7,100.00,89.80,19.14,1.17,63.30,4.72,0.05, -, -, -, -,0.25,0.71,0.10,0.36,
,,,化工群,323,313,92,5,213, -, -, -, -, -, -, -,3, -, -,100.00,96.90,28.48,1.55,65.94, -, -, -, -, -, -, -,0.93, -, -,
,,,土木與建築群,325,313,114,14,170,10,3, -, -, -, -, -,2, -, -,100.00,96.31,35.08,4.31,52.31,3.08,0.92, -, -, -, -, -,0.62, -, -,
,,,商業與管理群,"4,839","4,436",707,114,"3,390",165,7,8,3,4, -, -,31,6,1,100.00,91.67,14.61,2.36,70.06,3.41,0.14,0.17,0.06,0.08, -, -,0.64,0.12,0.02,
,,,外語群,"1,573","1,507",125,11,"1,297",49,4, -, -, -, -, -,7,14, -,100.00,95.80,7.95,0.70,82.45,3.12,0.25, -, -, -, -, -,0.45,0.89, -,
,,,設計群,"1,331","1,238",108,7,"1,048",54,9,1, -,2, -, -,3,6, -,100.00,93.01,8.11,0.53,78.74,4.06,0.68,0.08, -,0.15, -, -,0.23,0.45, -,
,,,農業群,114,100,48, -,48,4, -, -, -, -, -, -, -, -, -,100.00,87.72,42.11, -,42.11,3.51, -, -, -, -, -, -, -, -, -,
,,,食品群,279,250,62,22,139,16,6, -,1, -, -, -,4, -, -,100.00,89.61,22.22,7.89,49.82,5.73,2.15, -,0.36, -, -, -,1.43, -, -,
,,,家政群,737,628,29,11,563,24, -, -, -, -, -, -,1, -, -,100.00,85.21,3.93,1.49,76.39,3.26, -, -, -, -, -, -,0.14, -, -,
,,,餐旅群,"2,238","1,841",208,16,"1,476",99,4, -,3,13, -, -,20,2, -,100.00,82.26,9.29,0.71,65.95,4.42,0.18, -,0.13,0.58, -, -,0.89,0.09, -,
,,,水產群,28,14,11, -,3, -, -, -, -, -, -, -, -, -, -,100.00,50.00,39.29, -,10.71, -, -, -, -, -, -, -, -, -, -,
,,,海事群,19,16,9, -,7, -, -, -, -, -, -, -, -, -, -,100.00,84.21,47.37, -,36.84, -, -, -, -, -, -, -, -, -, -,
,,,藝術群,27,11,1, -,10, -, -, -, -, -, -, -, -, -, -,100.00,40.74,3.70, -,37.04, -, -, -, -, -, -, -, -, -, -,
,,,綜合,289,240,14, -,204,11,6, -, -, -, -, -,4,1, -,100.00,83.04,4.84, -,70.59,3.81,2.08, -, -, -, -, -,1.38,0.35, -,
,實用技能學程,,,"12,582","5,933",228,208,"3,550","1,524",55,53,61,162,2,1,58,4,27,100.00,47.15,1.81,1.65,28.21,12.11,0.44,0.42,0.48,1.29,0.02,0.01,0.46,0.03,0.21,
,,,機械群,562,298,18,40,155,77, -, -, -,5, -, -,2,1, -,100.00,53.02,3.20,7.12,27.58,13.70, -, -, -,0.89, -, -,0.36,0.18, -,
