表1-2-10 高級中等學校畢業生就業情況—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,家政群,737,65,1, -,4, -, -, -, -,2,14, -, -, -,8,5,6,3, -,7,15,100.00,8.82,0.14, -,0.54, -, -, -, -,0.27,1.90, -, -, -,1.09,0.68,0.81,0.41, -,0.95,2.04,
,,,餐旅群,"2,238",272,2,1,9,2, -,6,11,1,114, -, -, -,2,5,57, -, -,22,40,100.00,12.15,0.09,0.04,0.40,0.09, -,0.27,0.49,0.04,5.09, -, -, -,0.09,0.22,2.55, -, -,0.98,1.79,
,,,水產群,28,12, -, -, -, -, -, -, -, -, -, -, -, -, -, -,11, -, -, -,1,100.00,42.86, -, -, -, -, -, -, -, -, -, -, -, -, -, -,39.29, -, -, -,3.57,
,,,海事群,19,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,100.00,5.26, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,5.26,
,,,藝術群,27,14, -, -, -, -, -, -, -, -,5, -, -, -, -, -,8, -, -,1, -,100.00,51.85, -, -, -, -, -, -, -, -,18.52, -, -, -, -, -,29.63, -, -,3.70, -,
,,,綜合,289,25, -, -,1, -, -, -,2, -,12, -, -, -, -,3,1,1, -, -,5,100.00,8.65, -, -,0.35, -, -, -,0.69, -,4.15, -, -, -, -,1.04,0.35,0.35, -, -,1.73,
,實用技能學程,,,"12,582","4,855",141,33,642,67,9,172,380,162,"1,300",83,21,6,492,117,177,9,22,202,820,100.00,38.59,1.12,0.26,5.10,0.53,0.07,1.37,3.02,1.29,10.33,0.66,0.17,0.05,3.91,0.93,1.41,0.07,0.17,1.61,6.52,
,,,機械群,562,193,9,1,68,2, -,3,18,1,28,7, -, -,14,16,16, -, -,2,8,100.00,34.34,1.60,0.18,12.10,0.36, -,0.53,3.20,0.18,4.98,1.25, -, -,2.49,2.85,2.85, -, -,0.36,1.42,
,,,動力機械群,"1,334",717,29,5,133,6,2,40,41,63,62,6, -, -,141,14,26,1,1,26,121,100.00,53.75,2.17,0.37,9.97,0.45,0.15,3.00,3.07,4.72,4.65,0.45, -, -,10.57,1.05,1.95,0.07,0.07,1.95,9.07,
,,,電機與電子群,"1,486",473,44,23,142,17,1,35,25,13,52,7,1, -,16,6,36, -,1,6,48,100.00,31.83,2.96,1.55,9.56,1.14,0.07,2.36,1.68,0.87,3.50,0.47,0.07, -,1.08,0.40,2.42, -,0.07,0.40,3.23,
,,,土木與建築群,186,50,3,4,1,2, -,8,1, -,8,2,1, -,5,1, -, -,1, -,13,100.00,26.88,1.61,2.15,0.54,1.08, -,4.30,0.54, -,4.30,1.08,0.54, -,2.69,0.54, -, -,0.54, -,6.99,
,,,商業與管理群,"2,156",660,6, -,66,14,3,15,107,23,111,46,4,1,38,25,41,3,14,28,115,100.00,30.61,0.28, -,3.06,0.65,0.14,0.70,4.96,1.07,5.15,2.13,0.19,0.05,1.76,1.16,1.90,0.14,0.65,1.30,5.33,
