表1-2-5 高級中等學校畢業生升學情形—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,"畢業生
,,新北市,"16,040","12,867",813,82,"10,104","1,199",16,39,148,153,4,8,64,211,26,100.00,80.22,5.07,0.51,62.99,7.48,0.10,0.24,0.92,0.95,0.02,0.05,0.40,1.32,0.16,
,,臺北市,"15,262","13,744","1,368",302,"10,849",828,21,4,81,73,1,4,52,158,3,100.00,90.05,8.96,1.98,71.09,5.43,0.14,0.03,0.53,0.48,0.01,0.03,0.34,1.04,0.02,
,,臺中市,"19,405","17,393","2,404",481,"12,323","1,616",46,60,64,43,6,13,99,216,22,100.00,89.63,12.39,2.48,63.50,8.33,0.24,0.31,0.33,0.22,0.03,0.07,0.51,1.11,0.11,
,,臺南市,"10,523","8,357","1,445",19,"5,426","1,155",9,1,12,52,13,71,114,24,16,100.00,79.42,13.73,0.18,51.56,10.98,0.09,0.01,0.11,0.49,0.12,0.67,1.08,0.23,0.15,
,,高雄市,"15,094","10,090",988,257,"6,584","1,728",68,31,115,49,2,15,146,80,27,100.00,66.85,6.55,1.70,43.62,11.45,0.45,0.21,0.76,0.32,0.01,0.10,0.97,0.53,0.18,
,,宜蘭縣,413,387,55, -,326,3, -, -, -, -, -,1,1,1, -,100.00,93.70,13.32, -,78.93,0.73, -, -, -, -, -,0.24,0.24,0.24, -,
,,桃園縣,"14,221","11,739","1,372",183,"8,941",848,43,71,47,33,2,8,136,20,35,100.00,82.55,9.65,1.29,62.87,5.96,0.30,0.50,0.33,0.23,0.01,0.06,0.96,0.14,0.25,
,,新竹縣,"2,975","2,578",218,5,"2,000",283,2,3,6,45, -,1,8,4,3,100.00,86.66,7.33,0.17,67.23,9.51,0.07,0.10,0.20,1.51, -,0.03,0.27,0.13,0.10,
,,苗栗縣,"2,623","1,760",142,44,"1,220",240, -,3,14,67, -,5,16,2,7,100.00,67.10,5.41,1.68,46.51,9.15, -,0.11,0.53,2.55, -,0.19,0.61,0.08,0.27,
,,彰化縣,"5,037","3,380",237,27,"2,486",562,1,2,9,31, -,7,11,5,2,100.00,67.10,4.71,0.54,49.35,11.16,0.02,0.04,0.18,0.62, -,0.14,0.22,0.10,0.04,
,,南投縣,"1,251",913,49,3,580,200, -,16, -,30, -, -,3,32, -,100.00,72.98,3.92,0.24,46.36,15.99, -,1.28, -,2.40, -, -,0.24,2.56, -,
,,雲林縣,"3,336","2,364",461,36,"1,700",89, -,4,12,12, -,5,26,10,9,100.00,70.86,13.82,1.08,50.96,2.67, -,0.12,0.36,0.36, -,0.15,0.78,0.30,0.27,
,,嘉義縣,"2,268","1,306",219,13,859,132, -,5, -,22, -,2,24,6,24,100.00,57.58,9.66,0.57,37.87,5.82, -,0.22, -,0.97, -,0.09,1.06,0.26,1.06,
,,屏東縣,"2,388","1,546",115,67,"1,245",76,3,1,2, -,2, -,34,1, -,100.00,64.74,4.82,2.81,52.14,3.18,0.13,0.04,0.08, -,0.08, -,1.42,0.04, -,
,,臺東縣,428,270,21,14,217,4,2, -, -,6,1, -,5, -, -,100.00,63.08,4.91,3.27,50.70,0.93,0.47, -, -,1.40,0.23, -,1.17, -, -,
,,花蓮縣,"1,616","1,202",122,4,"1,018",21, -,1,1, -, -,11,17,7, -,100.00,74.38,7.55,0.25,63.00,1.30, -,0.06,0.06, -, -,0.68,1.05,0.43, -,
,,澎湖縣, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,基隆市,"1,938","1,762",279,15,"1,445",6, -, -, -, -,1,5,9,2, -,100.00,90.92,14.40,0.77,74.56,0.31, -, -, -, -,0.05,0.26,0.46,0.10, -,
,,新竹市,"2,589","2,232",126,8,"2,004",74, -, -,1, -,1,2,11,5, -,100.00,86.21,4.87,0.31,77.40,2.86, -, -,0.04, -,0.04,0.08,0.42,0.19, -,
,,嘉義市,"2,924","2,118",224,31,"1,737",51,17, -,3,2, -,5,41,7, -,100.00,72.44,7.66,1.06,59.40,1.74,0.58, -,0.10,0.07, -,0.17,1.40,0.24, -,
,,金門縣, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,連江縣, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
說明：,,"1. 本表依高中職應屆畢業生升學就業概況調查資料計算。
2. 本表含特教學校附設普通科、實用技能學程及大專校院附設職業類科畢業生資料，不含進修部資料。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
