表1-2-6 高級中等學校畢業生就業情況—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,新北市,,"12,117",240,1, -,45, -, -, -,8,4,70, -, -, -,20,3,1, -,3,7,78,100.00,1.98,0.01, -,0.37, -, -, -,0.07,0.03,0.58, -, -, -,0.17,0.02,0.01, -,0.02,0.06,0.64,
,臺北市,,"22,148",150, -, -,3, -, -,6,4,7,34, -,5, -,9,26,1, -,2,8,45,100.00,0.68, -, -,0.01, -, -,0.03,0.02,0.03,0.15, -,0.02, -,0.04,0.12, -, -,0.01,0.04,0.20,
,臺中市,,"2,873",29, -, -,4,1, -,2,1, -,4,1, -, -,1, -,5, -, -, -,10,100.00,1.01, -, -,0.14,0.03, -,0.07,0.03, -,0.14,0.03, -, -,0.03, -,0.17, -, -, -,0.35,
,臺南市,,598,11, -, -,1,1, -, -, -, -, -,1, -, -, -, -,7, -, -,1, -,100.00,1.84, -, -,0.17,0.17, -, -, -, -, -,0.17, -, -, -, -,1.17, -, -,0.17, -,
,高雄市,,"11,270",197,1, -,8,6, -,25,18,1,36,3,2, -,22,3,28,5,2,4,33,100.00,1.75,0.01, -,0.07,0.05, -,0.22,0.16,0.01,0.32,0.03,0.02, -,0.20,0.03,0.25,0.04,0.02,0.04,0.29,
,宜蘭縣,,88,41, -, -,2, -, -, -,1, -,2, -, -, -, -, -,24, -, -,1,11,100.00,46.59, -, -,2.27, -, -, -,1.14, -,2.27, -, -, -, -, -,27.27, -, -,1.14,12.50,
,桃園縣,,"2,947",13, -, -,1, -, -, -, -,1,1,1, -, -, -,1,3, -, -,2,3,100.00,0.44, -, -,0.03, -, -, -, -,0.03,0.03,0.03, -, -, -,0.03,0.10, -, -,0.07,0.10,
,新竹縣,,199,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,100.00,0.50, -, -, -, -, -, -, -, -,0.50, -, -, -, -, -, -, -, -, -, -,
,苗栗縣,,382,8, -, -,4, -, -, -, -, -,1, -, -, -, -, -,1, -, -, -,2,100.00,2.09, -, -,1.05, -, -, -, -, -,0.26, -, -, -, -, -,0.26, -, -, -,0.52,
,彰化縣,,605,25, -, -, -, -, -, -,6, -, -, -, -, -, -, -,1, -, -,12,6,100.00,4.13, -, -, -, -, -, -,0.99, -, -, -, -, -, -, -,0.17, -, -,1.98,0.99,
